,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,243,62,62,3,3,61,61,31,31,96,976,144,144,144,138,144,144,138,138,138,146.8,,
2,AGO002,395,457,457,0,653,457,457,457,457,457,0,136,136,136,136,136,136,136,136,136,353.1,,
3,ARM002,73,0,0,0,0,0,0,0,0,0,73,135,135,135,135,135,135,135,135,135,20.8,,
4,AZE002,72,0,0,0,0,0,0,0,0,0,1060,135,135,135,135,135,135,135,135,135,119.5,,
5,BDI001,73,73,73,3,3,73,73,73,73,73,73,136,136,136,136,136,136,136,136,136,65.3,,
6,BFA002,214,87,87,0,0,87,87,87,87,87,0,138,138,138,138,138,138,138,138,138,66,,
7,BGD001,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
8,BGD002,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
9,BGD009,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
10,BRA001,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
11,BRA002,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
12,BRA003,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
13,CAF001,214,214,214,0,0,214,214,214,214,214,0,138,138,138,138,138,138,138,138,138,142.2,,
14,CHL002,0,0,0,0,0,0,0,0,0,0,0,137,137,137,137,137,137,137,137,137,13.7,,
15,CMR001,87,30,30,0,0,30,30,30,30,30,0,136,136,136,136,136,136,136,136,136,31.6,,
16,CMR002,87,30,30,0,0,30,30,30,30,30,0,136,136,136,136,136,136,136,136,136,31.6,,
17,CMR003,87,30,30,0,0,30,30,30,30,30,0,136,136,136,136,136,136,136,136,136,31.6,,
18,CMR004,87,30,30,0,0,30,30,30,30,30,0,136,136,136,136,136,136,136,136,136,31.6,,
19,COD001,214,36,36,0,0,36,36,36,36,36,0,138,138,138,138,138,138,138,138,138,35.4,,
20,COG001,156,145,145,145,0,145,145,145,145,145,156,138,138,138,138,138,138,138,138,138,130.9,,
21,COL001,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
22,COL002,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
23,CRI002,6,6,6,6,153,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,33.7,,
24,DJI001,0,0,0,0,0,0,0,0,0,0,306,137,137,137,137,137,137,137,137,137,44.3,,
25,DJI002,0,0,0,0,0,0,0,0,0,0,306,137,137,137,137,137,137,137,137,137,44.3,,
26,DJI003,0,0,0,0,0,0,0,0,0,0,306,137,137,137,137,137,137,137,137,137,44.3,,
27,DOM002,157,61,61,10,157,61,61,61,157,157,157,137,137,137,137,137,137,137,137,137,101.9,,
28,DZA002,92,5,5,5,5,5,5,5,5,5,426,139,139,139,139,139,139,139,139,139,60.5,,
29,DZA003,92,92,92,402,5,5,5,5,5,5,426,139,139,139,139,139,139,139,139,139,108.9,,
30,DZA004,92,5,5,92,5,5,5,5,5,5,503,139,139,139,139,139,139,139,139,139,76.9,,
31,ECU002,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
32,EGY004,66,4,4,4,4,4,4,4,4,4,66,66,66,66,66,66,66,66,66,66,16.4,,
33,ERI001,73,3,73,3,3,3,3,3,3,3,500,136,136,136,136,136,136,136,136,136,73,,
34,ESP002,426,4,4,4,4,4,4,4,4,4,426,137,137,137,137,137,137,137,137,137,59.5,,
35,ETH001,0,0,0,0,0,0,0,0,0,0,463,135,135,135,135,135,135,135,135,135,59.8,,
36,ETH003,0,0,0,0,284,0,0,0,0,0,836,135,135,135,135,135,135,135,135,135,125.5,,
37,ETH004,0,0,0,0,0,0,0,0,0,0,685,135,135,135,135,135,135,135,135,135,82,,
38,ETH005,0,0,0,0,284,0,0,0,0,0,599,135,135,135,135,135,135,135,135,135,101.8,,
39,GRC002,0,0,99,0,0,0,0,0,0,0,1698,135,135,135,135,135,135,135,135,135,193.2,,
40,GTM001,122,93,93,73,6,93,93,93,93,93,122,137,137,137,137,137,137,137,137,137,89.6,,
41,HND001,122,93,73,6,6,73,73,93,93,93,122,136,136,136,136,136,136,136,136,136,76.8,,
42,HTI001,150,150,150,150,150,150,150,150,150,150,150,136,136,136,136,136,136,136,136,136,148.6,,
43,HTI002,142,142,142,142,142,0,0,0,142,142,142,136,136,136,136,136,136,136,136,136,98.8,,
44,HUN002,199,5,5,5,5,5,5,5,5,5,426,139,139,139,139,139,139,139,139,139,60.5,,
45,IDN002,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
46,IDN007,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
47,IDN008,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
48,IND002,976,123,976,96,3,121,976,976,976,976,1403,136,136,136,136,136,136,136,136,136,663.9,,
49,IRN004,929,929,214,214,153,214,214,214,214,214,929,136,136,136,136,136,136,136,136,136,271.6,,
50,IRQ001,61,0,0,0,0,0,0,0,0,0,1249,135,135,135,135,135,135,135,135,135,138.4,,
51,IRQ002,61,0,0,0,0,0,0,0,0,0,1332,135,135,135,135,135,135,135,135,135,146.7,,
52,IRQ003,61,0,0,0,0,0,0,0,0,0,1688,135,135,135,135,135,135,135,135,135,182.3,,
53,ITA002,426,4,4,4,4,4,4,4,4,4,426,139,139,139,139,139,139,139,139,139,59.7,,
54,JOR002,31,0,0,0,0,0,0,0,0,0,1184,135,135,135,135,135,135,135,135,135,131.9,,
55,KEN001,72,3,3,72,187,3,3,3,3,3,463,136,136,136,136,136,136,136,136,136,87.6,,
56,KEN002,72,72,72,72,463,72,72,72,72,72,72,136,136,136,136,136,136,136,136,136,117.5,,
57,KEN003,72,3,3,463,390,3,3,3,3,3,463,137,137,137,137,137,137,137,137,137,147.1,,
58,LBN002,87,5,5,31,5,5,5,5,5,5,1212,135,135,135,135,135,135,135,135,135,141.3,,
59,LBN004,87,31,31,31,5,31,31,31,31,31,1249,135,135,135,135,135,135,135,135,135,160.6,,
60,LBY001,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.9,,
61,LBY002,5,5,5,5,5,5,5,5,5,5,426,136,136,136,136,136,136,136,136,136,60.2,,
62,LBY003,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
63,LKA002,73,73,73,73,2,73,73,73,73,73,73,136,136,136,136,136,136,136,136,136,72.2,,
64,MAR001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
65,MAR002,426,4,4,4,4,4,4,4,4,4,426,136,136,136,136,136,136,136,136,136,59.4,,
66,MAR003,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
67,MDA002,199,4,4,4,4,4,4,4,4,4,426,139,139,139,139,139,139,139,139,139,59.7,,
68,MDG001,0,0,0,0,0,0,0,0,0,0,122,136,136,136,136,136,136,136,136,136,25.8,,
69,MDG002,0,0,0,0,0,0,0,0,0,0,122,136,136,136,136,136,136,136,136,136,25.8,,
70,MDG008,0,0,0,0,0,0,0,0,0,0,122,136,136,136,136,136,136,136,136,136,25.8,,
71,MEX001,186,186,186,186,3,3,3,3,186,186,186,136,136,136,136,136,136,136,136,136,107.8,,
72,MEX002,186,186,186,186,3,186,186,186,186,186,186,136,136,136,136,136,136,136,136,136,162.7,,
73,MEX003,3,3,3,3,3,3,3,3,3,3,186,136,136,136,136,136,136,136,136,136,34.6,,
74,MLI001,395,246,246,0,0,246,246,246,246,246,0,138,138,138,138,138,138,138,138,138,161.4,,
75,MMR001,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
76,MMR002,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
77,MMR003,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
78,MMR004,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
79,MMR005,6,6,6,6,6,6,6,6,6,6,6,122,122,122,122,122,122,122,122,122,17.6,,
80,MOZ001,122,0,0,0,0,0,0,0,0,0,122,136,136,136,136,136,136,136,136,136,25.8,,
81,MOZ004,122,0,0,0,0,0,0,0,0,0,122,136,136,136,136,136,136,136,136,136,25.8,,
82,MOZ009,122,122,122,0,0,122,122,122,122,122,122,136,136,136,136,136,136,136,136,136,99,,
83,MOZ010,122,122,122,122,0,122,122,122,122,122,122,136,136,136,136,136,136,136,136,136,111.2,,
84,MRT002,153,5,5,5,5,5,5,5,5,5,153,136,136,136,136,136,136,136,136,136,32.9,,
85,MRT003,1097,5,5,1130,5,5,5,5,5,5,261,136,136,136,136,136,136,136,136,136,156.2,,
86,MWI002,0,0,0,0,0,0,0,0,0,0,155,136,136,136,136,136,136,136,136,136,29.1,,
87,MWI005,0,0,0,0,0,0,0,0,0,0,155,136,136,136,136,136,136,136,136,136,29.1,,
88,MYS001,6,6,6,6,6,6,6,6,6,6,915,136,136,136,136,136,136,136,136,136,109.9,,
89,NAM002,0,0,0,1331,0,0,0,0,0,0,811,137,137,137,137,137,137,137,137,137,227.9,,
90,NER001,88,88,88,0,0,88,88,88,88,88,0,136,136,136,136,136,136,136,136,136,66.4,,
91,NER002,88,88,88,0,0,88,88,88,88,88,0,136,136,136,136,136,136,136,136,136,66.4,,
92,NER003,88,88,88,0,0,88,88,88,88,88,0,136,136,136,136,136,136,136,136,136,66.4,,
93,NER004,88,88,88,0,0,88,88,88,88,88,0,136,136,136,136,136,136,136,136,136,66.4,,
94,NGA001,72,33,3,3,3,3,3,3,3,3,1550,136,136,136,136,136,136,136,136,136,171,,
95,NGA003,72,72,72,33,3,72,72,72,72,72,1551,136,136,136,136,136,136,136,136,136,215.5,,
96,NGA004,72,72,72,3,3,72,72,72,72,72,1552,136,136,136,136,136,136,136,136,136,212.6,,
97,NGA007,72,72,72,3,3,72,72,72,72,72,1384,136,136,136,136,136,136,136,136,136,195.8,,
98,NGA008,72,72,3,3,432,3,3,3,3,3,1340,136,136,136,136,136,136,136,136,136,192.9,,
99,NIC001,6,6,6,6,6,4,4,4,4,4,278,136,136,136,136,136,136,136,136,136,45.2,,
100,PAK001,641,153,153,96,3,153,153,96,96,153,1696,136,136,136,136,136,136,136,136,136,273.5,,
101,PAK004,399,122,641,641,3,122,641,641,641,641,1676,136,136,136,136,136,136,136,136,136,578.3,,
102,PAK005,214,96,96,31,304,96,96,96,96,96,429,136,136,136,136,136,136,136,136,136,147.6,,
103,PAN002,6,6,6,6,6,6,6,6,6,6,123,136,136,136,136,136,136,136,136,136,30.7,,
104,PER002,0,0,0,0,0,0,0,0,0,0,0,137,137,137,137,137,137,137,137,137,13.7,,
