,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,60,60,60,4,4,60,60,60,60,60,793,159,159,159,158,162,159,158,158,157,132,,
2,AFG005,275,275,275,275,275,275,275,275,275,275,275,150,150,150,150,150,150,150,150,150,262.5,,
3,AGO002,212,274,274,9,470,274,274,274,274,274,9,153,153,153,153,153,153,153,153,153,228.5,,
4,ARM002,296,296,296,296,3,296,296,296,793,793,793,152,152,152,152,152,152,152,152,152,401.4,,
5,AZE002,249,269,269,31,3,269,274,269,269,269,877,151,151,151,151,151,151,151,151,151,268.1,,
6,BDI001,14,14,14,14,14,14,14,14,14,14,31,151,151,151,151,151,151,151,151,151,29.4,,
7,BFA002,31,31,31,31,31,31,31,31,31,31,1505,153,153,153,153,153,153,153,153,153,190.6,,
8,BGD002,333,31,31,31,31,268,268,31,268,268,1096,151,151,151,151,151,151,151,151,151,244.3,,
9,BRA001,1,1,1,1,1,1,1,1,1,1,1,153,153,153,153,153,153,153,153,153,16.2,,
10,BRA002,1,1,1,1,1,1,1,1,1,1,1,153,153,153,153,153,153,153,153,153,16.2,,
11,BRA003,1,1,1,1,1,1,1,1,1,1,1,153,153,153,153,153,153,153,153,153,16.2,,
12,CAF001,31,31,31,31,31,31,31,31,31,31,31,153,153,153,153,153,153,153,153,153,43.2,,
13,CHL002,31,31,31,31,31,31,31,31,31,31,31,153,153,153,153,153,153,153,153,153,43.2,,
14,CMR001,670,274,191,31,31,191,191,191,191,191,274,153,153,153,153,153,153,153,153,153,163.5,,
15,CMR002,1319,252,252,31,31,252,252,252,252,252,213,153,153,153,153,153,153,153,153,153,194,,
16,CMR003,375,252,252,31,31,252,252,252,252,252,213,153,153,153,153,153,153,153,153,153,194,,
17,CMR004,375,252,252,31,31,252,252,252,252,252,1507,153,153,153,153,153,153,153,153,153,323.4,,
18,COD001,31,31,31,31,31,31,31,31,31,31,1507,153,153,153,153,153,153,153,153,153,190.8,,
19,COG001,212,275,275,2,9,275,275,275,275,813,2,153,153,153,153,153,153,153,153,153,235.4,,
20,COL001,2,2,2,2,2,2,2,2,2,2,2,153,153,153,153,153,153,153,153,153,17.1,,
21,COL002,59,59,59,59,59,59,59,59,59,59,59,153,153,153,153,153,153,153,153,153,68.4,,
22,CRI002,0,0,0,0,0,0,0,0,0,0,0,153,153,153,153,153,153,153,153,153,15.3,,
23,DJI001,123,3,3,3,101,3,3,3,38,38,123,151,151,151,151,151,151,151,151,151,46.6,,
24,DJI002,123,123,3,3,101,3,3,3,3,3,123,151,151,151,151,151,151,151,151,151,39.6,,
25,DJI003,123,3,3,123,123,3,3,3,3,3,123,151,151,151,151,151,151,151,151,151,53.8,,
26,DOM002,95,66,66,66,95,66,66,66,95,95,95,153,153,153,153,153,153,153,153,153,86.3,,
27,DZA002,243,4,2,2,4,4,2,2,2,2,243,158,158,158,158,158,158,158,158,158,42.1,,
28,DZA003,243,243,243,219,4,219,219,219,219,219,243,158,158,158,158,158,158,158,158,158,196.2,,
29,DZA004,320,4,4,219,4,4,4,4,4,4,320,158,158,158,158,158,158,158,158,158,72.5,,
30,ECU002,31,31,31,31,31,31,31,31,31,31,31,153,153,153,153,153,153,153,153,153,43.2,,
31,EGY002,243,4,4,4,4,4,4,4,4,4,243,158,158,158,158,158,158,158,158,158,43.3,,
32,ERI001,31,31,31,31,31,31,31,31,31,31,317,151,151,151,151,151,151,151,151,151,71.6,,
33,ESP002,243,3,3,3,3,3,3,3,3,3,243,156,156,156,156,156,156,156,156,156,42.3,,
34,ETH001,38,1,1,1,1,1,1,1,1,1,280,145,145,145,145,145,145,145,145,145,43.3,,
35,ETH003,38,1,1,1,101,1,1,1,38,38,653,148,148,148,148,148,148,148,148,148,98.3,,
36,ETH004,184,1,1,1,1,1,1,1,1,1,502,147,147,147,147,147,147,147,147,147,65.7,,
37,ETH005,184,1,1,1,101,1,1,1,1,1,416,147,147,147,147,147,147,147,147,147,67.1,,
38,GRC002,7,7,7,7,7,7,7,7,7,7,1515,151,151,151,151,151,151,151,151,151,172.2,,
39,GTM001,95,60,95,95,38,95,60,60,95,95,95,153,153,153,153,153,153,153,153,153,88.1,,
40,HND001,95,64,95,95,38,95,64,64,95,95,95,153,153,153,153,153,153,153,153,153,88.9,,
41,HTI001,3,3,3,3,3,3,3,3,3,3,3,153,153,153,153,153,153,153,153,153,18,,
42,HTI002,3,3,3,3,3,3,3,3,3,3,3,153,153,153,153,153,153,153,153,153,18,,
43,HUN002,16,16,16,16,16,16,16,16,16,16,243,154,154,154,154,154,154,154,154,154,52.5,,
