,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
1,AFG001,1.7,2.5,2.5,0,2,185.4,0,High
2,AFG005,1.3,0.8,1.3,1.7,1.3,93,1,High
3,AGO002,1.1,1.8,1.4,0,1.7,104.1,0,High
4,ARM002,1.9,2.3,3.5,0,1.9,254.8,0,High
5,AZE002,3,x,2.6,3.3,x,193.2,2,Medium
6,BDI001,1.1,2,1.4,0,1.8,102,0,High
7,BFA002,1.5,2.3,2.2,0,1.9,162.5,0,High
8,BGD001,0.9,1.8,0.8,0,1.7,57.4,0,Very High
9,BGD002,1.2,1.8,1.9,0,1.7,140.8,0,High
10,BGD008,1,1.8,1.1,0,1.7,81.6,0,Very High
11,BRA001,0.8,1.8,0.6,0,1.7,42.6,0,Very High
12,BRA002,1.2,1.3,0.6,1.7,1.5,42.6,1,High
13,BRA003,0.9,2,0.6,0,1.8,42.6,0,Very High
14,CAF001,1.5,2.3,2.1,0,1.9,156.5,0,High
15,CHL002,0.8,1.8,0.6,0,1.7,42.6,0,Very High
16,CMR001,0.9,2,0.6,0,1.8,47.3,0,Very High
17,CMR002,0.9,1.8,1,0,1.7,73.4,0,Very High
18,CMR003,1,2,1,0,1.8,73.4,0,Very High
19,CMR004,1.7,2.3,2.8,0,1.9,202.8,0,High
20,COD001,1.3,1,2.9,0,1.4,211.3,0,High
21,COG001,1.3,2,1.8,0,1.8,132.7,0,High
22,COL001,0.4,0.5,0.6,0,1.2,41.3,0,Very High
23,COL002,0.8,1.8,0.6,0,1.7,41.3,0,Very High
24,CRI002,1.9,2.3,0.2,3.3,1.9,18.3,2,High
25,DJI001,1.2,2.3,1.3,0,1.9,96.2,0,High
26,DJI002,1.1,2.3,1,0,1.9,73.3,0,High
27,DJI003,1.2,2.3,1.4,0,1.9,105,0,High
28,DOM002,1.9,2.3,0.2,3.3,1.9,18.3,2,High
29,DZA002,1,2.5,0.6,0,2,47,0,Very High
30,DZA003,2.2,4.3,0.7,1.7,2.7,50.9,1,Medium
31,DZA004,1.4,3.5,0.6,0,2.4,44.4,0,High
32,ECU002,0.8,1.8,0.6,0,1.7,42.6,0,Very High
33,EGY002,1,2.5,0.4,0,2,30.8,0,Very High
34,ERI001,1.6,3,1.7,0,2.2,122.7,0,High
35,ESP002,1,2.5,0.5,0,2,34.7,0,Very High
36,ETH001,0.8,2,0.3,0,1.8,25.3,0,Very High
37,ETH003,1,2,1,0,1.8,76.6,0,Very High
38,ETH004,1.1,2.8,0.6,0,2.1,47.5,0,High
39,ETH005,1.1,2.8,0.5,0,2.1,38.9,0,High
40,GMB002,0.8,2,0.4,0,1.8,30,0,Very High
41,GRC002,2.2,3.5,3.1,0,2.4,223.7,0,Medium
42,GTM001,0.8,2.3,0.2,0,1.9,17.5,0,Very High
43,HND001,0.8,2.3,0.2,0,1.9,17.5,0,Very High
44,HTI001,1.4,2.3,0.2,1.7,1.9,17,1,High
45,HTI002,0.8,2.3,0.2,0,1.9,17,0,Very High
46,HUN002,0.9,2.3,0.3,0,1.9,23.4,0,Very High
47,IDN002,2.1,3,3.2,0,2.2,235,0,Medium
48,IND002,4.3,2.8,5,5,2.1,545.9,3,Very Low
49,IRN004,2.8,4.3,2.4,1.7,2.7,174.5,1,Medium
50,IRQ001,1.7,3.5,1.5,0,2.4,112.5,0,High
51,IRQ002,1.5,1.3,3.2,0,1.5,235.7,0,High
52,IRQ003,2.6,3.5,2.5,1.7,2.4,183.8,1,Medium
53,ITA002,0.9,2.3,0.4,0,1.9,30.7,0,Very High
54,JOR002,2.3,3.8,3.2,0,2.5,231.2,0,Medium
55,KEN001,2,2.3,0.4,3.3,1.9,32.9,2,High
56,KEN002,2,2,0.7,3.3,1.8,51.2,2,High
57,KEN003,2.5,2,0.5,5,1.8,40.2,3,Medium
58,LBN002,2.6,3.5,2.6,1.7,2.4,193.1,1,Medium
59,LBN004,2.6,3.5,2.5,1.7,2.4,180.1,1,Medium
60,LBY001,0.6,1,0.8,0,1.4,59.1,0,Very High
61,LBY002,0.8,2,0.4,0,1.8,30.3,0,Very High
62,LKA002,1,1.8,1.3,0,1.7,92.5,0,Very High
63,LSO002,1.1,2,1.3,0,1.8,93,0,High
64,MAR002,1.6,4,0.8,0,2.6,60.6,0,High
65,MDA002,0.9,2.3,0.3,0,1.9,22.6,0,Very High
66,MDG001,0.6,1.5,0.2,0,1.6,16.6,0,Very High
67,MDG002,0.4,1,0.2,0,1.4,16.6,0,Very High
68,MDG006,0.8,2.3,0.2,0,1.9,16.6,0,Very High
69,MEX001,1.4,4,0.2,0,2.6,17.7,0,High
70,MEX002,1.3,3.8,0.2,0,2.5,16.8,0,High
71,MEX003,1.3,3.8,0.2,0,2.5,16.8,0,High
72,MLI001,0.8,2,0.5,0,1.8,35.1,0,Very High
73,MMR001,1.5,2.3,2.1,0,1.9,152.8,0,High
74,MMR002,1.5,2.3,2.3,0,1.9,171.1,0,High
75,MMR003,1.8,2.3,3.1,0,1.9,227.7,0,High
76,MMR004,1.3,2,2,0,1.8,144.4,0,High
77,MOZ001,1.5,2.5,1.9,0,2,142.5,0,High
78,MOZ004,1.9,3,2.6,0,2.2,189.9,0,High
79,MOZ008,1.7,2.8,2.2,0,2.1,161.7,0,High
80,MRT002,0.7,1.5,0.5,0,1.6,34.7,0,Very High
81,MRT003,1.4,0.8,1.8,1.7,1.3,134.3,1,High
82,MWI002,0.6,0.8,0.9,0,1.3,67.4,0,Very High
83,MWI004,0.9,1.8,1,0,1.7,72.6,0,Very High
84,MYS001,1.6,2.8,1.9,0,2.1,142.6,0,High
85,NAM002,2.7,2,4.4,1.7,1.8,322.4,1,Medium
86,NER001,0.8,2,0.4,0,1.8,30.2,0,Very High
87,NER002,0.3,0.3,0.6,0,1.1,43.7,0,Very High
88,NER003,1.2,1.3,2.3,0,1.5,170.6,0,High
89,NER004,1,2,0.9,0,1.8,65.9,0,Very High
90,NGA001,1.9,3.8,1.8,0,2.5,133.1,0,High
91,NGA003,1.9,3.8,1.8,0,2.5,133.2,0,High
92,NGA004,2,2.5,1.8,1.7,2,133.6,1,High
93,NGA007,1.2,2,1.6,0,1.8,116.7,0,High
94,NGA008,1.9,2.3,1.6,1.7,1.9,118.9,1,High
95,NIC001,1.4,2.3,0.2,1.7,1.9,18.3,1,High
96,PAK001,1.3,1.8,2.2,0,1.7,163.3,0,High
97,PAK004,5,x,4.9,5,x,355.7,3,Very Low
98,PAK005,0.8,2,0.5,0,1.8,35,0,Very High
99,PAN002,1,2.8,0.2,0,2.1,18.3,0,Very High
100,PER002,0.8,1.8,0.6,0,1.7,42.1,0,Very High
101,PHL001,1.8,3.3,0.5,1.7,2.3,39,1,High
102,PHL003,2.4,3,4.2,0,2.2,305.7,0,Medium
103,PHL010,2.8,3,2.1,3.3,2.2,152.1,2,Medium
104,PHL011,0.8,2.3,0.2,0,1.9,12,0,Very High
105,PNG003,0.5,1.5,0.1,0,1.6,11.7,0,Very High
106,POL002,0.8,2,0.3,0,1.8,22.6,0,Very High
107,PRK001,2.5,2.5,5,0,2,708.2,0,Medium
108,PSE002,1.6,0.8,3.9,0,1.3,287.6,0,High
109,REG001,1.5,2.3,2.3,0,1.9,165.4,0,High
110,REG002,1.2,2.8,0.8,0,2.1,59.6,0,High
111,REG003,4.2,x,5,3.3,x,922.8,2,Very Low
112,REG004,1.5,2.5,1.9,0,2,137.4,0,High
113,REG006,2.5,3.5,2.2,1.7,2.4,158,1,Medium
114,REG007,0.9,2.3,0.3,0,1.9,20.3,0,Very High
115,REG008,0.9,2.3,0.4,0,1.9,31.5,0,Very High
116,REG011,1.4,2.3,1.8,0,1.9,128.8,0,High
117,REG012,0.8,2.3,0.2,0,1.9,14.8,0,Very High
118,REG013,1.5,3.3,1.2,0,2.3,90.2,0,High
119,REG014,1.4,3.5,0.7,0,2.4,52.3,0,High
120,ROU002,0.9,2.3,0.3,0,1.9,22.6,0,Very High
121,RWA002,2.5,2.5,1.6,3.3,2,113.9,2,Medium
122,SDN001,1.3,0.8,3.1,0,1.3,227.8,0,High
123,SDN005,1.2,2.3,1.4,0,1.9,104.3,0,High
124,SDN006,0.7,2,0.2,0,1.8,13.2,0,Very High
125,SDN008,0.8,0.8,1.7,0,1.3,125.1,0,Very High
126,SEN002,0.3,0.3,0.6,0,1.1,41.1,0,Very High
127,SLV001,0.8,2.3,0.2,0,1.9,17.5,0,Very High
128,SOM001,1.3,1.8,2.2,0,1.7,158.5,0,High
129,SOM002,1.1,2.3,1,0,1.9,73.3,0,High
130,SSD001,0.9,2,0.8,0,1.8,56,0,Very High
131,SVK002,0.9,2.3,0.3,0,1.9,22.6,0,Very High
132,SWZ001,1.8,0.8,2.8,1.7,1.3,206.6,1,High
133,SYR001,1.4,0.8,3.5,0,1.3,258.2,0,High
134,TCD001,2.7,3.5,4.5,0,2.4,330.2,0,Medium
135,TCD003,2.1,3.5,2.7,0,2.4,198.5,0,Medium
136,TCD004,1.8,2.8,2.7,0,2.1,196,0,High
137,TCD005,0.8,1.5,0.9,0,1.6,68.3,0,Very High
138,TCD006,2.9,3.8,5,0,2.5,748,0,Medium
139,THA001,1.7,2.5,2.7,0,2,195.5,0,High
140,THA002,3.5,2.3,5,3.3,1.9,677.3,2,Low
141,THA003,2.5,2.3,3.5,1.7,1.9,255.7,1,Medium
142,TON002,1.7,0.5,1.3,3.3,1.2,98.4,2,High
143,TTO002,0.8,1.8,0.6,0,1.7,41.8,0,Very High
144,TUN002,1,2.5,0.4,0,2,30.8,0,Very High
145,TUR001,1.5,2.5,2,0,2,148.5,0,High
146,TUR002,2.1,2.3,2.2,1.7,1.9,163.8,1,Medium
147,TUR003,1.5,2.5,2.1,0,2,150.5,0,High
148,TUR004,2.4,2.3,5,0,1.9,1075.2,0,Medium
149,TZA001,0.9,2.3,0.5,0,1.9,33.8,0,Very High
150,TZA002,0.7,0.5,1.6,0,1.2,117.8,0,Very High
151,TZA003,0.9,1,1.8,0,1.4,129.6,0,Very High
152,UGA001,0.8,2.3,0.2,0,1.9,15.4,0,Very High
153,UGA005,2.3,2.8,2.5,1.7,2.1,183,1,Medium
154,UGA007,1.5,2.3,0.4,1.7,1.9,27.8,1,High
155,UKR002,0.7,1.8,0.3,0,1.7,22.7,0,Very High
156,VEN001,1.3,3.3,0.6,0,2.3,42.6,0,High
157,YEM001,0.8,2.3,0.2,0,1.9,14.6,0,Very High
158,YEM002,1.8,3.5,0.2,1.7,2.4,14.6,1,High
159,ZMB002,1,0.5,2.5,0,1.2,181,0,Very High
160,ZWE001,1.5,2,2.4,0,1.8,174.6,0,High
