,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
1,AFG001,852,124,124,77,33,124,124,124,124,124,124,185,185,185,185,185,185,185,185,185,116.3
2,ARM002,187,35,35,35,187,35,35,35,124,124,124,187,187,187,187,187,187,187,187,187,92.1
3,AZE002,208,165,165,78,187,208,208,208,208,208,208,187,187,187,187,187,187,187,187,187,186.5
4,BDI001,237,68,68,68,68,68,68,68,68,68,824,186,186,186,186,186,186,186,186,186,155.4
5,BFA002,346,69,69,69,69,228,228,228,228,228,836,187,187,187,187,187,187,187,187,187,237
6,BGD002,124,13,13,13,13,77,77,77,77,77,427,185,185,185,185,185,185,185,185,185,103.6
7,BRA002,549,122,122,122,237,122,122,122,122,122,836,577,577,577,577,577,577,577,577,577,250.4
8,CAF001,839,160,160,66,66,216,216,216,216,216,427,187,187,187,187,187,187,187,187,187,198.6
9,CMR001,1,1,1,1,0,0,0,0,0,0,838,186,186,186,186,186,186,186,186,186,102.6
10,CMR002,650,95,95,66,66,95,95,95,95,95,763,186,186,186,186,186,186,186,186,186,165.1
11,CMR003,838,95,95,66,66,95,95,95,95,95,650,186,186,186,186,186,186,186,186,186,153.8
12,CMR004,838,122,122,66,122,122,122,122,122,122,838,186,186,186,186,186,186,186,186,186,194.4
13,COD001,238,66,143,66,66,143,143,143,143,143,838,186,186,186,186,186,186,186,186,186,201.4
14,COG001,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
15,COL001,236,12,12,12,123,12,12,12,12,12,837,577,577,577,577,577,577,577,577,577,162.1
16,COL002,123,123,123,123,480,123,237,123,123,237,837,577,577,577,577,577,577,577,577,577,298.3
17,CRI002,480,237,123,123,335,123,123,123,237,237,781,578,578,578,578,578,578,578,578,578,278.3
18,DJI001,236,109,109,531,109,109,109,109,109,109,531,183,183,183,183,183,183,183,183,183,200.8
19,DJI002,236,109,109,549,109,109,109,109,109,109,837,577,577,577,577,577,577,577,577,577,272.6
20,DJI003,236,109,109,796,109,109,109,109,109,109,735,577,577,577,577,577,577,577,577,577,287.1
21,DZA002,549,480,355,355,188,549,549,549,549,549,355,185,185,185,185,185,185,185,185,185,418.3
22,DZA003,480,836,549,549,188,549,549,549,549,549,836,185,185,185,185,185,185,185,185,185,505.2
23,DZA004,342,342,342,342,188,342,342,342,342,342,342,185,185,185,185,185,185,185,185,185,310.9
24,ECU002,480,122,122,122,335,122,122,122,122,122,837,182,182,182,182,182,182,182,182,182,220.8
25,EGY002,397,62,32,32,88,32,32,32,32,32,840,183,183,183,183,183,183,183,183,183,133.5
26,ERI001,236,557,122,122,122,183,183,183,183,183,838,183,183,183,183,183,183,183,183,183,230.2
27,ESP002,123,123,123,123,123,123,123,123,123,123,837,837,837,837,837,837,837,837,837,837,265.8
28,ETH001,236,68,68,68,68,68,68,68,68,68,836,183,183,183,183,183,183,183,183,183,156.3
