,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
1,AFG001,0.9,2.3,0.4,0,1.9,31.9,0,Very High
2,AFG006,1.4,1.8,0.8,1.7,1.7,58.2,1,High
3,AGO002,2.3,1.8,5,0,1.7,504.8,0,Medium
4,ARM002,1.1,2.5,0.9,0,2,65.1,0,High
5,AZE002,2.6,3.8,2.2,1.7,2.5,163.8,1,Medium
6,BDI001,0.7,2,0.2,0,1.8,15.5,0,Very High
7,BFA002,0.4,1,0.3,0,1.4,23.8,0,Very High
8,BGD001,0.4,1,0.1,0,1.4,6.9,0,Very High
9,BGD002,0.4,1,0.1,0,1.4,6.9,0,Very High
10,BGD012,0.4,1,0.1,0,1.4,6.9,0,Very High
11,BGR002,1.9,2,0.3,3.3,1.8,21.9,2,High
12,BLR002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
13,BRA001,0.9,2,0.6,0,1.8,42.8,0,Very High
14,BRA002,0.8,2.3,0.2,0,1.9,15.8,0,Very High
15,BRA004,1.4,1.8,0.6,1.7,1.7,42.8,1,High
16,CAF001,0.2,0.3,0.3,0,1.1,23.7,0,Very High
17,CHL002,0.7,1.8,0.2,0,1.7,14.7,0,Very High
18,CMR001,0.7,1.8,0.2,0,1.7,16.6,0,Very High
19,CMR002,0.6,1.5,0.2,0,1.6,16.6,0,Very High
20,CMR003,0.6,1.5,0.2,0,1.6,16.6,0,Very High
21,CMR004,0.7,1.8,0.2,0,1.7,16.6,0,Very High
22,COD001,0.2,0.3,0.3,0,1.1,23.7,0,Very High
23,COG001,0.7,1.8,0.2,0,1.7,16.6,0,Very High
24,COL001,0.8,2,0.3,0,1.8,25.4,0,Very High
25,COL002,0.9,2.3,0.3,0,1.9,25.4,0,Very High
26,CRI002,1.6,3.5,1.3,0,2.4,96.5,0,High
27,CZE002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
28,DJI001,1.1,2.3,0.9,0,1.9,67.5,0,High
29,DJI002,1,2,0.9,0,1.8,67.5,0,Very High
30,DJI003,1.1,2.3,0.9,0,1.9,67.5,0,High
31,DOM002,2.1,2.3,0.6,3.3,1.9,43.4,2,Medium
32,DZA002,1.6,3.8,1.1,0,2.5,80,0,High
33,DZA003,1.8,4.3,1.1,0,2.7,80,0,High
34,DZA004,1.7,3.8,1.2,0,2.5,87.7,0,High
35,ECU002,0.8,2.3,0.2,0,1.9,15.4,0,Very High
36,EGY004,1,2.5,0.6,0,2,44.8,0,Very High
37,ERI001,1.5,3.3,1.2,0,2.3,86.8,0,High
38,ESP002,1.2,2.5,1.1,0,2,81.6,0,High
39,EST002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
40,ETH001,0.8,2,0.3,0,1.8,25.7,0,Very High
41,ETH003,1.8,2.8,1,1.7,2.1,74.3,1,High
42,ETH004,1.1,3,0.3,0,2.2,25.7,0,High
43,ETH005,1.3,2.8,1,0,2.1,74.3,0,High
44,GRC002,1.9,2.8,2.8,0,2.1,206.6,0,High
45,GTM001,1,2.8,0.3,0,2.1,25.9,0,Very High
46,HND001,1.4,3.8,0.3,0,2.5,25.4,0,High
47,HTI001,1.1,3,0.3,0,2.2,25.4,0,High
48,HUN002,0.9,2.3,0.3,0,1.9,20.3,0,Very High
49,IDN002,1.7,3.5,1.6,0,2.4,116,0,High
50,IRN004,3.6,4,3.4,3.3,2.6,251.7,2,Low
51,IRQ001,1.4,2,2.2,0,1.8,161.7,0,High
52,IRQ002,1.6,2.5,2.3,0,2,170,0,High
53,IRQ003,1.7,2,3,0,1.8,220.8,0,High
54,ITA002,1.1,2.3,1.1,0,1.9,81.6,0,High
55,JOR002,1.3,3.8,0.2,0,2.5,15.5,0,High
56,KEN001,1.3,3.5,0.3,0,2.4,24.6,0,High
57,KEN002,1.3,2,0.2,1.7,1.8,15.5,1,High
58,KEN003,0.8,2.3,0.2,0,1.9,15.5,0,Very High
59,LBN002,1.4,2,2.3,0,1.8,168.9,0,High
60,LBN004,1.5,2,2.4,0,1.8,172.6,0,High
61,LBY001,1,2.3,0.7,0,1.9,48.4,0,Very High
62,LBY002,1.1,2,1.2,0,1.8,90.6,0,High
63,LBY003,0.8,1.8,0.7,0,1.7,48.5,0,Very High
64,LKA001,0.9,1.8,0.8,0,1.7,59.4,0,Very High
65,LKA002,1.4,1.8,0.8,1.7,1.7,62.1,1,High
66,LKA003,0.9,1.8,0.8,0,1.7,61.9,0,Very High
67,LTU002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
68,LVA002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
69,MAR001,1.4,3.8,0.5,0,2.5,39.1,0,High
70,MAR002,1.7,4,1.1,0,2.6,81.3,0,High
71,MAR003,1.4,3,1.1,0,2.2,81.1,0,High
72,MDA002,0.8,2,0.3,0,1.8,20.3,0,Very High
73,MDG001,0.9,2.3,0.4,0,1.9,27.3,0,Very High
74,MDG002,0.9,2.3,0.4,0,1.9,27.3,0,Very High
75,MDG008,1.1,2.8,0.4,0,2.1,27.3,0,High
76,MEX001,1.5,4,0.6,0,2.6,43.4,0,High
77,MEX002,1.5,3.8,0.6,0,2.5,43.4,0,High
78,MEX003,1.5,3.8,0.6,0,2.5,43.4,0,High
79,MLI001,0.2,0.3,0.3,0,1.1,23.7,0,Very High
80,MMR001,0.7,1.8,0.3,0,1.7,22.7,0,Very High
81,MMR002,0.7,1.8,0.3,0,1.7,22.7,0,Very High
82,MMR003,0.7,1.8,0.3,0,1.7,22.4,0,Very High
83,MMR004,0.7,1.8,0.3,0,1.7,22.7,0,Very High
84,MNG004,0.8,2,0.5,0,1.8,36.7,0,Very High
85,MOZ001,0.9,2.5,0.2,0,2,13,0,Very High
86,MOZ004,1.1,2.8,0.4,0,2.1,27.2,0,High
87,MRT002,0.7,1.5,0.7,0,1.6,53.5,0,Very High
88,MRT003,0.6,0.8,0.9,0,1.3,64.3,0,Very High
89,MWI002,0.8,1.8,0.7,0,1.7,52.3,0,Very High
90,MWI005,1.1,2.5,0.7,0,2,52.3,0,High
91,MYS001,0.9,2.5,0.3,0,2,20,0,Very High
92,NAM002,2.4,1.5,4,1.7,1.6,294.1,1,Medium
93,NER001,0.7,1.8,0.2,0,1.7,16.5,0,Very High
94,NER002,1,0.3,2.7,0,1.1,197.1,0,Very High
95,NER003,1,0.3,2.7,0,1.1,197.1,0,Very High
96,NER004,1,0.3,2.7,0,1.1,197.1,0,Very High
97,NGA001,1.4,4,0.3,0,2.6,25.5,0,High
98,NGA003,0.9,2.3,0.3,0,1.9,25.6,0,Very High
99,NGA004,1.2,3.3,0.3,0,2.3,25.6,0,High
100,NGA007,1.3,3.5,0.3,0,2.4,25.5,0,High
101,NGA008,1.9,2.3,1.6,1.7,1.9,118.6,1,High
102,NIC001,1.4,2.3,0.2,1.7,1.9,15.5,1,High
103,NPL003,1.4,2,2.1,0,1.8,152.3,0,High
104,PAK001,1.5,1.8,2.8,0,1.7,206.4,0,High
105,PAK004,2.5,1.3,2.8,3.3,1.5,204.4,2,Medium
