,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
1,AFG001,1.4,2.3,1.9,0,1.9,140.5,0,High
2,ARM002,1.4,2.3,1.8,0,1.9,134.3,0,High
3,AZE002,3.2,x,3.1,3.3,x,228.6,2,Low
4,BDI001,1.7,2.3,2.7,0,1.9,196.9,0,High
5,BFA002,0.7,0.5,1.6,0,1.2,119.8,0,Very High
6,BGD002,1.1,1.5,1.9,0,1.6,137.9,0,High
7,BRA002,2.3,3.5,3.5,0,2.4,252.6,0,Medium
8,CAF001,2.2,3.5,3,0,2.4,217.1,0,Medium
9,CMR001,0.8,0.5,2,0,1.2,144.6,0,Very High
10,CMR002,1.5,1.8,2.8,0,1.7,207.1,0,High
11,CMR003,1.7,2.3,2.7,0,1.9,195.9,0,High
12,CMR004,2.4,2.3,3.2,1.7,1.9,236.5,1,Medium
13,COD001,1.8,2.3,3,0,1.9,220.1,0,High
14,COG001,3.1,3.3,2.6,3.3,2.3,189.7,2,Low
15,COL001,1.5,2.3,2.2,0,1.9,164.6,0,High
16,COL002,2.7,2.3,4.1,1.7,1.9,300.1,1,Medium
17,CRI002,2.4,3.3,3.8,0,2.3,281.1,0,Medium
18,DJI001,0.9,2.3,0.3,0,1.9,26.4,0,Very High
19,DJI002,0.9,2.3,0.3,0,1.9,26.4,0,Very High
20,DJI003,0.9,2.3,0.3,0,1.9,26.4,0,Very High
21,DZA002,5,x,5,5,x,438.2,3,Very Low
22,DZA003,2.9,3.8,5,0,2.5,525.1,0,Medium
23,DZA004,4.9,x,4.8,5,x,352.4,3,Very Low
24,ECU002,2.5,3.8,3.6,0,2.5,263.5,0,Medium
25,EGY002,1.8,3.8,1.7,0,2.5,122.6,0,High
26,ERI001,2.5,3.8,3.7,0,2.5,272.6,0,Medium
27,ESP002,1.3,2.3,1.7,0,1.9,121.6,0,High
28,ETH001,1,2.3,0.6,0,1.9,41.3,0,Very High
29,ETH002,0.9,2,0.6,0,1.8,45.3,0,Very High
30,ETH003,1,2.3,0.6,0,1.9,41.3,0,Very High
31,ETH004,1.3,3.3,0.5,0,2.3,37.3,0,High
32,GRC002,1.5,2.3,2.3,0,1.9,164.9,0,High
33,GTM001,1.8,1.8,3.6,0,1.7,263.6,0,High
34,GTM003,1.6,2.3,2.6,0,1.9,188,0,High
35,HND001,2,2,4,0,1.8,293.2,0,High
36,HND002,1.7,2.5,2.6,0,2,193.9,0,High
37,HTI001,1.7,2,3.2,0,1.8,232,0,High
38,IDN002,3.4,x,5,1.7,x,413.9,1,Low
39,IND002,3.4,2.3,2.8,5,1.9,202,3,Low
40,IRN004,1.8,4.3,1.2,0,2.7,89.4,0,High
41,IRQ001,1.2,2.3,1.3,0,1.9,92.1,0,High
42,IRQ002,1.1,1.3,1.9,0,1.5,141,0,High
43,IRQ003,1.5,2.5,1.9,0,2,142.3,0,High
