,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
1,AFG001,1.1,2.3,1.1,0,1.9,83.8,0,High
2,DZA002,4,x,3,5,x,220.4,3,Low
3,DZA003,2.7,3.8,4.2,0,2.5,307.3,0,Medium
4,DZA004,3.1,x,1.2,5,x,89.2,3,Low
5,REG008,5,x,5,5,x,470.2,5,Very Low
6,REG007,5,x,5,5,x,451.6,5,Very Low
7,BGD001,1.3,3.5,0.4,0,2.4,30.9,0,High
8,BGD002,0.9,2,0.6,0,1.8,44,0,Very High
9,BGD003,1.3,2,0.2,1.7,1.8,14.2,1,High
10,BGD006,1.4,3,1.1,0,2.2,78.5,0,High
11,REG011,0.9,2,0.6,0,1.8,47.3,0,Very High
12,BRA002,1.2,2.5,1.2,0,2,87.9,0,High
13,BFA002,1,2.3,0.7,0,1.9,51.9,0,Very High
14,BFA003,1.7,3.5,-0.1,1.7,2.4,-7,1,High
15,BDI001,1.1,2,1.2,0,1.8,87.8,0,High
16,CMR001,1.1,1.8,1.6,0,1.7,117.2,0,High
17,CMR002,1.1,1.8,1.5,0,1.7,109.7,0,High
18,CMR003,1.1,2,1.3,0,1.8,98.4,0,High
19,CMR004,1.4,2,2.2,0,1.8,158.4,0,High
20,CAF001,2.2,2.5,4,0,2,290.6,0,Medium
21,TCD001,1.7,3.3,1.8,0,2.3,130.2,0,High
22,TCD003,1.6,3.8,1.1,0,2.5,84.7,0,High
23,TCD004,1.9,2,3.6,0,1.8,265.9,0,High
24,TCD005,1.7,2.3,2.8,0,1.9,206.4,0,High
25,TCD006,2,3.5,2.4,0,2.4,176.6,0,High
26,TCD008,1.3,3.8,0,0,2.5,-2,0,High
27,CHN002,1.2,3.5,0.2,0,2.4,15.9,0,High
28,COL001,2.4,2,1.9,3.3,1.8,136.5,2,Medium
29,COL002,2.3,2,1.5,3.3,1.8,112.3,2,Medium
30,COG002,1.8,3.5,1.9,0,2.4,142.9,0,High
31,CRI002,1.2,2.3,1.3,0,1.9,92.3,0,High
32,DJI001,1.9,2.5,1.6,1.7,2,114.8,1,High
33,DJI002,2.5,2.5,5,0,2,410.5,0,Medium
34,DJI003,2,3.5,2.6,0,2.4,193.8,0,High
35,PRK001,3.9,2.5,4.3,5,2,312.5,3,Low
36,COD001,1.3,2.3,1.6,0,1.9,113.9,0,High
37,COD003,2.8,3.8,1.3,3.3,2.5,92.6,2,Medium
38,ECU002,1.2,2.3,1.3,0,1.9,97.8,0,High
