,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
1,AFG001,701,77,674,15,31,77,77,77,77,77,90,34,34,34,34,34,34,34,34,34,122.9
2,DZA002,398,329,204,204,37,398,398,398,398,398,204,34,34,34,34,34,34,34,34,34,267.3
3,DZA003,329,685,398,398,37,398,398,398,398,398,685,34,34,34,34,34,34,34,34,34,354.2
4,DZA004,191,191,191,191,37,191,191,191,191,191,191,34,34,34,34,34,34,34,34,34,159.9
5,REG008,615,615,615,615,14,615,615,615,615,615,615,31,31,31,31,31,31,31,31,31,496.5
6,REG007,615,615,615,615,14,615,615,615,615,615,615,31,31,31,31,31,31,31,31,31,496.5
7,ARM002,36,14,14,14,36,57,57,57,57,57,57,36,36,36,36,36,36,36,36,36,44.2
8,REG013,36,9,9,9,57,57,57,57,57,57,57,36,36,36,36,36,36,36,36,36,45.3
9,AZE002,57,14,14,9,36,57,57,57,57,57,57,36,36,36,36,36,36,36,36,36,43.7
10,BGD002,588,15,34,15,31,15,15,15,15,15,276,34,34,34,34,34,34,34,34,34,46.5
11,REG011,276,15,15,15,31,15,15,15,15,15,64,31,31,31,31,31,31,31,31,31,23.1
12,BRA002,398,86,86,86,86,86,86,86,86,86,685,426,426,426,426,426,426,426,426,426,179.9
13,BFA002,195,36,36,36,9,77,77,77,77,77,685,36,36,36,36,36,36,36,36,36,118.7
14,BFA003,93,93,62,93,9,62,62,62,62,62,93,36,36,36,36,36,36,36,36,36,60.3
15,BFA004,62,36,36,36,9,62,62,62,62,62,62,36,36,36,36,36,36,36,36,36,48.9
16,BDI001,86,62,62,35,35,62,62,62,62,62,673,35,35,35,35,35,35,35,35,35,115
17,CMR001,499,62,62,31,31,127,127,127,127,127,687,35,35,35,35,35,35,35,35,35,148.1
18,CMR002,499,127,127,31,31,127,127,127,127,127,612,35,35,35,35,35,35,35,35,35,147.1
19,CMR003,687,127,127,31,31,127,127,127,127,127,499,35,35,35,35,35,35,35,35,35,135.8
20,CMR004,687,31,31,31,31,31,31,31,31,31,687,35,35,35,35,35,35,35,35,35,97
21,CAF001,688,9,9,9,9,65,65,65,65,65,276,36,36,36,36,36,36,36,36,36,66.4
22,TCD001,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
23,TCD003,685,9,9,9,9,77,77,77,77,77,685,35,35,35,35,35,35,35,35,35,113.2
24,TCD004,282,282,282,9,685,282,282,282,282,282,685,35,35,35,35,35,35,35,35,35,310.6
25,TCD005,282,282,282,9,9,282,282,282,282,282,685,35,35,35,35,35,35,35,35,35,243
26,TCD006,685,282,282,685,9,155,155,155,155,155,427,35,35,35,35,35,35,35,35,35,221.3
27,TCD008,62,62,62,90,90,62,62,62,62,62,90,35,35,35,35,35,35,35,35,35,67.7
28,COL001,85,13,246,13,31,77,77,77,77,77,686,426,426,426,426,426,426,426,426,426,178.7
29,COL002,13,13,13,13,329,13,86,13,13,86,686,426,426,426,426,426,426,426,426,426,167.8
30,COL003,13,13,13,31,31,13,13,13,31,31,31,31,31,31,31,31,31,31,31,31,23.8
31,COG004,57,56,36,57,57,36,36,36,36,36,57,36,36,36,36,36,36,36,36,36,42.3
32,CRI002,329,86,86,86,184,86,86,86,86,86,630,427,427,427,427,427,427,427,427,427,184.3
33,DJI001,85,380,132,380,34,76,85,85,85,85,380,32,32,32,32,32,32,32,32,32,137.4
34,DJI002,85,398,398,398,34,521,611,398,521,686,686,426,426,426,426,426,426,426,426,426,467.9
35,DJI003,85,85,398,645,34,85,85,85,85,85,584,426,426,426,426,426,426,426,426,426,251.2
36,PRK001,703,407,407,426,31,276,276,276,276,276,703,34,34,34,34,34,34,34,34,34,298.1
37,COD001,87,154,426,35,31,77,77,77,77,77,687,35,35,35,35,35,35,35,35,35,159.9
38,COD003,185,185,185,185,185,185,185,185,185,185,185,35,35,35,35,57,35,35,35,35,170
39,ECU002,329,329,34,34,184,34,34,34,34,34,686,31,31,31,31,31,31,31,31,31,113.9
40,EGY002,246,204,204,204,32,204,204,204,204,246,689,32,32,32,32,32,32,32,32,32,222.3
41,SLV001,85,86,86,86,31,86,86,86,86,86,687,427,427,427,427,427,427,427,427,427,174.7
42,ERI001,85,406,406,32,32,32,32,32,32,32,687,32,32,32,32,32,32,32,32,32,134.9
43,SWZ001,86,62,62,322,62,62,62,62,62,62,328,35,35,35,35,35,35,35,35,35,111.9
44,ETH001,85,246,246,185,31,85,85,85,85,85,685,32,32,32,32,32,32,32,32,32,160.4
45,ETH002,209,73,85,85,209,132,132,132,132,132,209,209,208,209,208,209,208,209,209,209,145.7
46,ETH003,183,183,132,132,183,132,132,132,132,132,132,178,178,178,178,178,178,178,178,178,141.7
47,ETH004,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
48,GRC002,611,9,9,9,9,9,9,9,9,9,695,35,35,35,35,35,35,35,35,35,80.2
49,GTM001,85,86,86,86,13,13,13,13,13,86,552,427,427,427,427,427,427,427,427,427,130.2
50,GTM003,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
51,HTI001,703,86,86,86,32,86,86,86,86,86,703,56,56,56,56,56,56,56,56,56,139.3
52,HND001,85,86,86,86,31,13,13,13,13,86,687,427,427,427,427,427,427,427,427,427,145.5
53,HND002,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
54,IND001,34,34,34,34,31,34,34,34,34,34,209,34,34,34,34,34,34,34,34,34,51.2
55,IND002,643,643,643,643,31,615,643,643,643,643,400,34,34,34,34,34,34,34,34,34,493.8
56,IND005,64,64,64,64,31,64,64,64,64,64,86,34,34,34,34,34,34,34,34,34,59.9
57,REG003,409,409,86,409,31,409,616,616,616,616,616,31,31,31,31,31,31,31,31,31,404.6
58,IDN002,337,337,337,337,31,337,337,337,337,337,520,34,34,34,34,34,34,34,34,34,294.4
59,IRN004,276,276,64,64,276,276,276,276,276,276,276,31,31,31,31,31,31,31,31,31,209.1
60,IRQ001,93,78,35,35,35,35,35,35,35,66,246,34,34,34,34,34,34,34,34,34,59.1
61,IRQ002,93,77,66,35,35,77,77,246,246,35,329,34,34,34,34,34,34,34,34,34,118
62,IRQ003,246,35,35,35,35,35,35,35,35,35,685,34,34,34,34,34,34,34,34,34,99.9
63,ITA002,685,624,624,624,633,624,624,624,624,624,685,624,624,624,624,624,624,624,624,624,631
64,JOR002,31,31,31,31,31,31,31,31,31,31,181,34,34,34,34,34,34,34,34,34,46.3
65,KEN001,85,182,182,182,32,182,182,182,182,182,555,32,32,32,32,32,32,32,32,32,189.3
66,KEN002,685,182,32,32,685,276,276,182,276,276,685,429,429,429,429,429,429,429,429,429,314.9
67,KEN003,85,182,182,555,555,182,182,182,182,555,555,429,429,429,429,429,429,429,429,429,355.9
68,KEN005,209,209,209,209,209,209,209,209,209,209,246,246,246,246,246,246,246,246,246,246,216.4
69,LBN002,209,209,209,209,64,64,64,64,64,64,209,34,34,34,34,34,34,34,34,34,104.5
70,LBN004,246,246,92,246,64,92,92,92,92,92,246,34,34,34,34,34,34,34,34,34,114.2
71,LBN005,132,132,132,132,64,132,132,132,132,132,132,34,34,34,34,34,34,34,34,34,115.4
72,LSO002,520,62,62,83,701,62,62,62,62,62,701,35,35,35,35,35,35,35,35,35,189.2
73,REG012,14,14,14,31,31,14,14,14,14,14,322,35,35,35,35,35,35,35,35,35,50.3
74,LBY001,246,246,246,94,37,246,246,246,246,246,246,34,34,34,34,34,34,34,34,34,188.7
75,LBY002,94,94,83,83,37,85,94,94,94,94,246,34,34,34,34,34,34,34,34,34,94.4
76,MDG002,463,217,217,83,62,217,217,217,217,217,546,35,35,35,35,35,35,35,35,35,202.8
77,MWI002,647,62,62,490,35,62,62,62,62,62,489,35,35,35,35,35,35,35,35,35,142.1
78,MLI001,87,181,181,31,31,181,181,181,181,489,707,31,31,31,31,31,31,31,31,31,219.4
79,MRT002,686,66,66,66,552,66,66,66,66,66,686,34,34,34,34,34,34,34,34,34,173.4
80,MRT003,94,14,14,127,127,14,14,14,14,14,127,34,34,34,34,34,34,34,34,34,49.9
81,MEX001,398,385,398,184,398,385,398,385,398,398,398,398,398,398,398,398,398,398,398,398,374
82,MEX002,398,385,385,398,31,385,398,385,398,398,398,398,398,398,398,398,398,398,398,398,357.4
83,MEX003,398,385,385,385,31,385,385,385,398,398,398,398,398,398,398,398,398,398,398,398,354.8
84,MEX004,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
85,MAR002,93,204,204,204,37,398,398,398,398,398,685,34,34,34,34,34,34,34,34,34,315.4
86,MOZ001,520,76,157,157,32,32,32,32,32,32,520,32,32,32,32,32,32,32,32,32,105.8
87,MOZ004,645,76,32,32,32,32,32,32,32,32,32,429,133,429,429,429,429,134,429,429,71.7
88,MOZ006,328,76,73,156,328,32,32,32,32,32,328,328,328,328,328,328,328,328,328,328,137.3
89,MMR001,276,276,276,15,31,276,276,34,34,276,276,31,31,31,31,31,31,31,31,31,152.5
90,MMR002,276,276,276,15,31,77,276,276,276,276,276,31,31,31,31,31,31,31,31,31,181
91,MMR003,588,276,276,34,31,276,276,34,34,276,276,31,31,31,31,31,31,31,31,31,154.4
92,NAM002,328,62,62,328,62,62,62,62,62,62,328,35,35,35,35,35,35,35,35,35,112.5
93,NIC001,329,86,707,86,13,427,427,427,707,707,707,427,427,427,427,427,427,427,427,427,463.5
94,NIC002,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
95,NER001,688,87,62,31,31,62,62,62,62,62,688,31,31,31,31,31,31,31,31,31,115.3
96,NER002,688,617,427,62,31,62,62,62,62,62,688,31,31,31,31,31,31,31,31,31,154.9
97,NER003,688,617,329,31,31,62,62,62,62,62,688,31,31,31,31,31,31,31,31,31,142
98,NER004,381,77,62,62,31,62,62,62,62,62,381,31,31,31,31,31,31,31,31,31,87.7
99,NER005,87,57,87,87,87,87,87,87,87,87,87,31,31,31,31,31,31,31,31,31,81.4
100,NGA001,547,31,31,31,31,31,31,31,31,31,547,35,35,35,35,35,35,35,35,35,83
101,NGA003,31,31,31,31,31,31,31,31,31,31,548,35,35,35,35,35,35,35,35,35,83.1
102,NGA004,549,217,247,31,31,247,247,247,247,247,549,35,35,35,35,35,35,35,35,35,212.8
103,NGA007,247,31,31,31,31,31,31,31,31,31,381,35,35,35,35,35,35,35,35,35,66.4
104,NGA008,356,31,31,31,31,31,31,31,31,31,337,35,35,35,35,35,35,35,35,35,62
105,REG001,217,31,31,31,31,60,60,60,60,60,610,35,35,35,35,35,35,35,35,35,103.8
106,PAK001,86,86,86,454,31,86,86,86,86,86,693,31,31,31,31,31,31,31,31,31,172.5
107,PAK004,591,591,673,337,31,400,673,673,673,673,673,31,31,31,31,31,31,31,31,31,483.7
108,PSE002,93,85,127,37,37,127,127,127,127,127,693,34,34,34,34,34,34,34,34,34,156.3
109,PER002,329,329,86,31,86,329,329,329,329,329,685,426,31,426,426,426,31,426,426,426,295.9
110,PHL001,31,31,15,15,31,15,15,15,15,15,381,31,31,31,31,31,31,31,31,31,54.8
111,PHL003,398,398,15,15,31,15,15,15,15,15,398,31,31,31,31,31,31,31,31,31,56.5
112,PHL004,381,381,90,90,209,90,90,90,90,90,381,31,31,31,31,31,31,31,31,31,125.1
113,PHL009,15,15,15,15,31,15,15,15,15,15,15,31,31,31,31,31,31,31,31,31,18.2
114,RWA002,685,35,35,35,62,35,62,35,62,62,685,35,35,35,35,35,35,35,35,35,110.8
115,SEN002,87,14,14,385,707,14,14,14,14,14,707,31,31,31,31,31,31,31,31,31,191.4
116,SOM001,437,328,328,160,56,32,32,32,32,32,700,32,32,32,32,32,32,32,32,32,143.6
117,SOM002,160,160,160,160,132,612,612,160,160,160,612,427,427,427,427,427,427,427,427,427,319.5
118,SOM004,398,398,398,386,398,386,386,386,398,398,398,398,398,398,398,398,398,398,398,398,393.2
119,SSD001,552,520,520,32,32,461,461,461,461,461,552,32,32,32,32,32,32,32,32,32,347.3
120,ESP002,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686
121,SDN001,328,328,32,32,32,157,157,328,328,328,328,32,32,32,32,32,32,32,32,32,175.4
122,SDN005,328,328,32,32,328,276,276,276,276,276,32,328,328,328,328,328,328,328,328,328,213.2
123,SDN006,86,76,56,86,56,76,76,76,76,76,132,132,132,132,132,132,132,132,132,132,84.2
124,SDN007,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
125,SYR001,93,132,132,37,37,429,132,429,429,429,701,34,34,34,34,34,34,34,34,34,278.9
126,REG004,31,31,31,31,31,31,31,31,31,31,590,34,34,34,34,34,34,34,34,34,87.2
127,TZA002,526,35,35,35,526,35,83,35,83,83,701,35,35,35,35,35,35,35,35,35,165.1
128,THA001,520,34,34,34,64,34,34,34,34,34,687,31,31,31,31,31,31,31,31,31,102
