,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
1,AFG001,791,63,63,16,8,63,63,63,63,63,63,124,124,124,124,124,124,124,124,124,58.9
2,ARM002,126,20,20,20,126,20,63,20,63,63,63,126,126,126,126,126,126,126,126,126,58.4
3,AZE002,147,104,104,17,126,147,147,147,147,147,147,126,126,126,126,126,126,126,126,126,125.5
4,BDI001,176,7,7,7,7,7,7,7,7,7,763,125,125,125,125,125,125,125,125,125,94.4
5,BFA002,285,8,8,8,8,167,167,167,167,167,775,126,126,126,126,126,126,126,126,126,176
6,BGD002,63,16,16,16,8,16,16,16,16,16,366,124,124,124,124,124,124,124,124,124,61
7,BRA002,488,61,61,61,176,61,61,61,61,61,775,516,516,516,516,516,516,516,516,516,189.4
8,CAF001,778,99,99,5,5,155,155,155,155,155,366,126,126,126,126,126,126,126,126,126,137.6
9,CMR001,589,34,34,5,5,34,34,34,34,34,777,125,125,125,125,125,125,125,125,125,111.6
10,CMR002,589,34,34,5,5,34,34,34,34,34,702,125,125,125,125,125,125,125,125,125,104.1
11,CMR003,777,34,34,5,5,34,34,34,34,34,589,125,125,125,125,125,125,125,125,125,92.8
12,CMR004,777,61,61,5,61,61,61,61,61,61,777,125,125,125,125,125,125,125,125,125,133.4
13,COD001,177,5,82,5,5,82,82,82,82,82,777,125,125,125,125,125,125,125,125,125,140.4
14,COG001,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
15,COL001,175,103,336,62,62,167,167,167,167,167,776,516,516,516,516,516,516,516,516,516,258.7
16,COL002,62,62,62,62,419,62,176,62,62,176,776,516,516,516,516,516,516,516,516,516,237.3
17,COL003,62,62,62,121,121,62,62,62,121,121,121,121,121,121,121,121,121,121,121,121,97.4
18,CRI002,419,176,62,62,274,62,62,62,176,176,720,517,517,517,517,517,517,517,517,517,217.3
19,DJI001,175,48,48,470,48,48,48,48,48,48,470,122,122,122,122,122,122,122,122,122,139.8
20,DJI002,175,48,48,488,48,48,48,48,48,48,776,516,516,516,516,516,516,516,516,516,211.6
21,DJI003,175,48,48,735,48,48,48,48,48,48,674,516,516,516,516,516,516,516,516,516,226.1
22,DZA002,488,419,294,294,127,488,488,488,488,488,294,124,124,124,124,124,124,124,124,124,357.3
23,DZA003,419,775,488,488,127,488,488,488,488,488,775,124,124,124,124,124,124,124,124,124,444.2
24,DZA004,281,281,281,281,127,281,281,281,281,281,281,124,124,124,124,124,124,124,124,124,249.9
25,ECU002,419,61,61,61,274,61,61,61,61,61,776,121,121,121,121,121,121,121,121,121,159.8
26,EGY002,336,1,1,1,27,1,1,1,1,1,779,122,122,122,122,122,122,122,122,122,93.5
27,ERI001,175,496,61,61,61,122,122,122,122,122,777,122,122,122,122,122,122,122,122,122,169.2
28,ESP002,62,62,62,62,62,62,62,62,62,62,776,776,776,776,776,776,776,776,776,776,204.8
29,ETH001,175,7,7,7,7,7,7,7,7,7,775,122,122,122,122,122,122,122,122,122,95.3
30,ETH002,299,163,175,175,299,222,222,222,222,222,299,299,298,299,298,299,298,299,299,299,235.7
31,ETH003,273,273,222,222,273,222,222,222,222,222,222,268,268,268,268,268,268,268,268,268,231.7
32,ETH004,121,63,63,37,121,63,63,63,63,63,121,121,121,121,121,121,121,121,121,121,77.8
33,FJI002,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
