,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,3,3,3,3,3,3,3,3,3,3,3,137,137,137,137,137,137,137,137,137,16.4,,
2,AFG006,3,3,3,3,3,3,3,3,3,3,3,137,137,137,137,137,137,137,137,137,16.4,,
3,AGO002,92,92,92,1,1050,92,92,92,92,92,1,115,115,115,115,115,115,115,115,115,171.9,,
4,ARM002,2,2,2,2,2,2,2,2,2,2,2,141,141,141,141,141,141,141,141,141,15.9,,
5,AZE002,2,2,2,2,2,2,2,2,2,2,1457,140,140,140,140,140,140,140,140,140,161.3,,
6,BDI001,3,3,3,3,3,3,3,3,3,3,3,139,139,139,139,139,139,139,139,139,16.6,,
7,BEN002,202,202,202,1,1,202,202,202,202,202,1,130,130,130,130,130,130,130,130,130,134.5,,
8,BFA002,196,196,196,1,1,196,196,196,196,196,1,130,130,130,130,130,130,130,130,130,130.9,,
9,BGD001,9,9,9,9,9,9,9,9,9,9,9,93,93,93,93,93,93,93,93,93,17.4,,
10,BGD002,9,9,9,9,9,9,9,9,9,9,9,140,140,140,140,140,140,140,140,140,22.1,,
11,BGD012,9,9,9,9,9,9,9,9,9,9,9,91,91,91,91,91,91,91,91,91,17.2,,
12,BGD013,9,9,9,9,9,9,9,9,9,9,9,140,140,140,140,140,140,140,140,140,22.1,,
13,BGD014,9,9,9,9,9,9,9,9,9,9,9,93,93,93,93,93,93,93,93,93,17.4,,
14,BGR002,33,2,2,2,2,2,33,2,33,33,33,135,135,135,135,135,135,135,135,135,27.7,,
15,BLR002,33,2,2,2,2,2,33,2,33,33,33,135,135,135,135,135,135,135,135,135,27.7,,
16,BRA001,47,47,47,47,47,47,47,47,47,47,47,59,59,59,59,59,59,59,59,59,48.2,,
17,BRA002,47,47,47,47,47,47,47,47,47,47,47,136,136,136,136,136,136,136,136,136,55.9,,
18,BRA004,47,47,47,47,47,47,47,47,47,47,47,136,136,136,136,136,136,136,136,136,55.9,,
19,BRA005,47,47,47,47,47,47,47,47,47,47,47,72,72,72,72,72,72,72,72,72,49.5,,
20,CAF001,168,168,168,1,1,168,168,168,168,168,1,134,134,134,134,134,134,134,134,134,114.5,,
21,CHL002,36,36,36,36,36,36,36,36,36,36,36,135,135,135,135,135,135,135,135,135,45.9,,
22,CMR001,196,147,147,1,1,147,147,147,147,147,1,130,130,130,130,130,130,130,130,130,101.5,,
23,CMR002,484,147,147,1,1,147,147,147,147,147,1,132,132,132,132,132,132,132,132,132,101.7,,
24,CMR003,484,147,147,1,1,147,147,147,147,147,1,133,132,132,132,133,133,132,132,132,101.8,,
25,CMR004,484,147,147,1,1,147,147,147,147,147,1,130,130,130,130,130,130,117,130,130,101.5,,
26,COD001,196,168,168,1,1,168,168,168,168,168,1,134,134,134,134,134,134,134,134,134,114.5,,
27,COG001,184,184,184,1,1,184,184,184,184,184,1,122,122,122,122,122,122,122,122,122,122.9,,
28,COL001,24,24,24,24,24,24,24,24,24,24,24,135,135,135,135,135,135,135,135,135,35.1,,
29,COL002,24,24,24,24,24,24,24,24,24,24,24,135,135,135,135,135,135,135,135,135,35.1,,
30,CRI002,24,24,24,24,24,24,24,24,24,24,24,135,135,135,135,135,135,135,135,135,35.1,,
31,CZE002,33,2,2,2,2,33,33,2,33,33,33,135,135,135,135,135,135,135,135,135,30.8,,
32,DJI001,2,2,2,2,2,2,2,2,2,2,703,139,139,139,139,139,139,139,139,139,85.8,,
33,DJI002,2,2,2,2,2,2,2,2,2,2,703,139,139,139,139,139,139,139,139,139,85.8,,
34,DJI003,2,2,2,2,2,2,2,2,2,2,703,139,139,139,139,139,139,139,139,139,85.8,,
35,DOM002,24,24,24,24,24,24,24,24,24,24,24,135,135,135,135,135,135,135,135,135,35.1,,
36,DZA002,489,9,9,9,9,9,9,9,9,9,823,143,143,143,143,143,143,143,143,143,103.8,,
37,DZA003,489,9,9,9,9,9,9,9,9,9,823,143,143,143,143,143,143,143,143,143,103.8,,
38,DZA004,489,9,9,9,9,9,9,9,9,9,900,143,143,143,143,143,143,143,143,143,111.5,,
39,ECU002,36,36,36,36,36,36,36,36,36,36,36,135,135,135,135,135,135,135,135,135,45.9,,
40,EGY004,463,2,2,2,2,2,2,2,2,2,2,143,143,143,143,143,143,143,143,143,16.1,,
41,ERI001,3,3,3,3,3,3,3,3,3,3,897,140,140,140,140,140,140,140,140,140,106.1,,
42,ESP002,823,9,9,9,9,9,9,9,9,9,823,136,136,136,136,136,136,136,136,136,103.1,,
43,EST002,33,2,2,2,2,33,33,2,33,33,33,135,135,135,135,135,135,135,135,135,30.8,,
44,ETH001,0,0,0,0,0,0,0,0,0,0,195,135,135,135,135,135,135,135,135,135,33,,
45,ETH003,0,0,0,0,681,0,0,0,0,0,195,135,135,135,135,135,135,135,135,135,101.1,,
46,ETH004,0,0,0,0,0,0,0,0,0,0,195,135,135,135,135,135,135,135,135,135,33,,
