,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,90,90,90,0,0,90,90,90,90,90,823,189,189,189,188,192,189,188,188,187,155.2,,
2,AGO002,242,304,304,3,500,304,304,304,304,304,3,183,183,183,183,183,183,183,183,183,251.3,,
3,ARM002,326,326,326,326,0,326,326,326,823,823,823,182,182,182,182,182,182,182,182,182,428.1,,
4,AZE002,279,299,299,61,0,299,304,299,299,299,907,181,181,181,181,181,181,181,181,181,294.8,,
5,BDI001,44,44,44,44,44,44,44,44,44,44,61,181,181,181,181,181,181,181,181,181,59.4,,
6,BFA002,61,61,61,27,27,61,61,61,61,61,1535,183,183,183,183,183,183,183,183,183,213.8,,
7,BGD002,363,3,3,3,3,3,3,3,3,3,3,181,181,181,181,181,181,181,181,181,20.8,,
8,BRA001,29,29,29,29,29,29,29,29,29,29,29,183,183,183,183,183,183,183,183,183,44.4,,
9,BRA002,31,31,31,31,31,31,31,31,31,31,31,183,183,183,183,183,183,183,183,183,46.2,,
10,BRA003,31,31,31,31,31,31,31,31,31,31,31,183,183,183,183,183,183,183,183,183,46.2,,
11,CAF001,61,61,61,27,27,61,61,61,61,61,61,183,183,183,183,183,183,183,183,183,66.4,,
12,CHL002,61,61,61,61,61,61,61,61,61,61,61,183,183,183,183,183,183,183,183,183,73.2,,
13,CMR001,700,304,221,27,27,221,221,221,221,221,304,183,183,183,183,183,183,183,183,183,186.7,,
14,CMR002,1349,282,282,27,27,282,282,282,282,282,243,183,183,183,183,183,183,183,183,183,217.2,,
15,CMR003,405,282,282,27,27,282,282,282,282,282,243,183,183,183,183,183,183,183,183,183,217.2,,
16,CMR004,405,282,282,27,27,282,282,282,282,282,1537,183,183,183,183,183,183,183,183,183,346.6,,
17,COD001,61,61,61,27,27,61,61,61,61,61,1537,183,183,183,183,183,183,183,183,183,214,,
18,COG001,3,305,305,3,3,305,305,305,305,843,3,183,183,183,183,183,183,183,183,183,256,,
19,COL001,32,32,32,32,32,32,32,32,32,32,32,183,183,183,183,183,183,183,183,183,47.1,,
20,COL002,20,20,20,20,20,20,20,20,20,20,20,183,183,183,183,183,183,183,183,183,36.3,,
21,CRI002,0,0,0,0,0,0,0,0,0,0,0,183,183,183,183,183,183,183,183,183,18.3,,
22,DJI001,153,33,33,33,131,33,33,33,68,68,153,181,181,181,181,181,181,181,181,181,76.6,,
23,DJI002,153,153,33,33,131,33,33,33,33,33,153,181,181,181,181,181,181,181,181,181,69.6,,
24,DJI003,153,33,33,153,153,33,33,33,33,33,153,181,181,181,181,181,181,181,181,181,83.8,,
25,DOM002,4,4,4,4,4,4,4,4,4,4,4,183,183,183,183,183,183,183,183,183,21.9,,
26,DZA002,273,3,32,32,3,3,32,32,32,32,273,188,188,188,188,188,188,188,188,188,65.9,,
27,DZA003,273,273,273,249,3,249,249,249,249,249,273,188,188,188,188,188,188,188,188,188,223.1,,
28,DZA004,350,3,3,249,3,3,3,3,3,3,350,188,188,188,188,188,188,188,188,188,80.8,,
29,ECU002,61,61,61,61,61,61,61,61,61,61,61,183,183,183,183,183,183,183,183,183,73.2,,
30,EGY002,273,3,3,3,3,3,3,3,3,3,273,188,188,188,188,188,188,188,188,188,48.5,,
31,ERI001,61,61,61,61,61,61,61,61,61,61,347,181,181,181,181,181,181,181,181,181,101.6,,
