,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
1,AFG001,1.2,1.3,2.2,0,1.5,160.4,0,High
2,AGO002,1.8,1.8,3.5,0,1.7,255.5,0,High
3,ARM002,2,2.3,3.6,0,1.9,265.5,0,High
4,AZE002,2.5,3.8,1.9,1.7,2.5,137.9,1,Medium
5,BDI001,0.7,2,0.2,0,1.8,17,0,Very High
6,BFA002,1.8,2.3,3.1,0,1.9,225,0,High
7,BGD002,0.7,1.8,0.2,0,1.7,15.5,0,Very High
8,BRA001,0.6,1.8,0.1,0,1.7,8.6,0,Very High
9,BRA002,1.4,2.3,0.1,1.7,1.9,8.6,1,High
10,BRA003,1.5,2.8,0.1,1.7,2.1,8.6,1,High
11,CAF001,1.1,2.3,1.1,0,1.9,77.6,0,High
12,CHL002,0.6,1.8,0.1,0,1.7,8.7,0,Very High
13,CMR001,1.6,2,2.7,0,1.8,197.7,0,High
14,CMR002,1.6,1.8,3.1,0,1.7,228.2,0,High
15,CMR003,1.7,2,3.1,0,1.8,228.2,0,High
16,CMR004,2.4,2.3,4.9,0,1.9,357.6,0,Medium
17,COD001,1.8,2.3,3.1,0,1.9,225.2,0,High
18,COG001,0.8,2,0.3,0,1.8,21.1,0,Very High
19,COL001,0.2,0.3,0.2,0,1.1,14,0,Very High
20,COL002,1.2,1.8,0.2,1.7,1.7,14,1,High
21,CRI002,2,2.3,0.4,3.3,1.9,29.3,2,High
22,DJI001,1.2,2.3,1.2,0,1.9,87.9,0,High
23,DJI002,1,2,1.1,0,1.8,80.9,0,Very High
24,DJI003,2.3,2.3,1.3,3.3,1.9,95.1,2,Medium
25,DOM002,2,2.3,0.4,3.3,1.9,33,2,High
26,DZA002,1.1,2.5,0.9,0,2,69.9,0,High
27,DZA003,3.1,4.3,3.2,1.7,2.7,230.5,1,Low
28,DZA004,1.5,3.5,0.9,0,2.4,67.8,0,High
29,ECU002,0.6,1.8,0.1,0,1.7,8.6,0,Very High
30,EGY002,1,2.5,0.4,0,2,32.1,0,Very High
31,ERI001,1.2,3,0.7,0,2.2,54,0,High
32,ESP002,1,2.5,0.4,0,2,31.9,0,Very High
33,ETH001,0.6,1,0.7,0,1.4,54,0,Very High
34,ETH003,1.7,2,1.5,1.7,1.8,107.5,1,High
35,ETH004,0.9,1.3,1.4,0,1.5,101,0,Very High
36,ETH005,0.8,1.3,1.1,0,1.5,83.8,0,Very High
37,GRC002,1.9,3.5,2.2,0,2.4,159.7,0,High
38,GTM001,0.8,2.3,0,0,1.9,1.5,0,Very High
39,HND001,0.8,2.3,0,0,1.9,1.4,0,Very High
40,HTI001,0.2,0.3,0.4,0,1.1,26.6,0,Very High
41,HTI002,0.9,2.3,0.3,0,1.9,19.4,0,Very High
42,HUN002,0.9,2.3,0.4,0,1.9,32.1,0,Very High
43,IDN002,1.5,3,1.6,0,2.2,116.7,0,High
44,IDN007,1.4,3.3,0.8,0,2.3,57.2,0,High
45,IDN008,0.7,1.3,0.8,0,1.5,57.2,0,Very High
46,IND002,4.1,2.3,5,5,1.9,727.4,3,Very Low
47,IRN004,3.1,4,2,3.3,2.6,149.6,2,Low
48,IRQ001,1.7,3.5,1.7,0,2.4,121.8,0,High
49,IRQ002,1.1,1.3,2,0,1.5,147.6,0,High
50,IRQ003,1.9,3.5,2.2,0,2.4,162.2,0,High
51,ITA002,0.9,2.3,0.4,0,1.9,32.1,0,Very High
52,JOR002,1.8,3.5,1.8,0,2.4,128.9,0,High
53,KEN001,2.2,2.5,0.7,3.3,2,49.7,2,Medium
54,KEN002,2.1,2,1,3.3,1.8,71,2,Medium
55,KEN003,3,2,2,5,1.8,144.9,3,Medium
56,LBN002,2.3,3.5,1.8,1.7,2.4,132.1,1,Medium
57,LBN004,2.3,3.3,1.9,1.7,2.3,135.8,1,Medium
58,LBY001,0.5,1,0.4,0,1.4,31.8,0,Very High
59,LBY002,0.8,2,0.4,0,1.8,31.8,0,Very High
60,LKA002,1.5,1.8,2.6,0,1.7,191.6,0,High
61,MAR002,2.3,4,2.9,0,2.6,214.2,0,Medium
62,MDA002,0.9,2.3,0.4,0,1.9,32.1,0,Very High
63,MDG001,0.6,1.8,0.1,0,1.7,7.5,0,Very High
64,MDG002,0.9,0.8,0.2,1.7,1.3,19,1,Very High
65,MDG008,0.8,2.3,0,0,1.9,1.4,0,Very High
66,MEX001,1.6,4,0.8,0,2.6,59,0,High
67,MEX002,1.5,3.8,0.8,0,2.5,59,0,High
68,MEX003,1.5,3.8,0.8,0,2.5,59,0,High
69,MLI001,0.5,0.5,1,0,1.2,76,0,Very High
70,MMR001,0.7,2,0,0,1.8,2.3,0,Very High
71,MMR002,1.7,2.3,2.7,0,1.9,196.3,0,High
72,MMR003,1.5,2.3,2.2,0,1.9,159.1,0,High
73,MMR004,1.3,2,2,0,1.8,144.9,0,High
74,MMR005,1.4,2.5,0,1.7,2,0.9,1,High
75,MNG002,1.5,2.3,0.6,1.7,1.9,42.2,1,High
76,MOZ001,0.8,2.5,0,0,2,1.4,0,Very High
77,MOZ004,1,3,0,0,2.2,1.4,0,Very High
78,MOZ009,0.8,2.3,0,0,1.9,1.4,0,Very High
79,MOZ010,0.8,2.3,0,0,1.9,1.4,0,Very High
80,MRT002,0.6,1.5,0.3,0,1.6,23.1,0,Very High
81,MRT003,1.7,0.8,2.7,1.7,1.3,199.5,1,High
82,MWI002,0.4,1,0.1,0,1.4,6.3,0,Very High
83,MWI005,0.2,0.5,0.1,0,1.2,6.3,0,Very High
84,MYS001,1.9,2.8,2.8,0,2.1,205.1,0,High
85,NAM002,1.7,0.5,2.9,1.7,1.2,214.3,1,High
86,NER001,0.5,0.5,1,0,1.2,75.8,0,Very High
87,NER002,0.9,0.3,2.3,0,1.1,165.8,0,Very High
88,NER003,1.1,1,2.2,0,1.4,163.2,0,High
89,NER004,1.3,1.8,2.1,0,1.7,154.5,0,High
90,NGA001,1.9,3.8,2,0,2.5,146.6,0,High
91,NGA003,2.2,3.8,2.8,0,2.5,206.1,0,Medium
92,NGA004,2.2,2.3,2.6,1.7,1.9,188.6,1,Medium
93,NGA007,2,3.5,2.6,0,2.4,189.4,0,High
94,NGA008,2,2.3,2.1,1.7,1.9,156.3,1,High
95,NIC001,2,2.3,1.9,1.7,1.9,138.9,1,High
96,PAK001,1.4,1.8,2.4,0,1.7,177.6,0,High
97,PAK004,3.2,1.3,5,3.3,1.5,468.3,2,Low
98,PAK005,1.7,2.3,2.9,0,1.9,211.8,0,High
99,PAN002,0.8,2.5,0,0,2,2.3,0,Very High
100,PER002,0.6,1.8,0.1,0,1.7,8.7,0,Very High
101,PHL001,1.1,3.3,0,0,2.3,2.3,0,High
102,PHL003,1.9,3.8,1.9,0,2.5,140,0,High
103,PHL012,1,2,0.9,0,1.8,69.1,0,Very High
104,PNG003,1.3,1.5,2.3,0,1.6,170.8,0,High
105,POL002,0.8,2,0.4,0,1.8,31.8,0,Very High
106,PRK001,2.1,3.5,2.7,0,2.4,196.9,0,Medium
107,PSE002,1.1,0.8,2.5,0,1.3,180.9,0,High
108,REG001,1.4,1.8,2.3,0,1.7,165.8,0,High
109,REG002,2.1,2.8,3.6,0,2.1,265.7,0,Medium
110,REG003,3.3,3.3,5,1.7,2.3,975.7,1,Low
111,REG004,1.7,2.5,2.5,0,2,179.6,0,High
112,REG006,2.4,3.5,2,1.7,2.4,149.5,1,Medium
113,REG007,0.9,2.3,0.4,0,1.9,29,0,Very High
114,REG008,0.9,2.3,0.4,0,1.9,29,0,Very High
115,REG011,0.7,2,0.2,0,1.8,15.5,0,Very High
116,REG012,0.7,2,0,0,1.8,1.4,0,Very High
117,REG013,1.4,3,1.1,0,2.2,78.7,0,High
118,REG014,1.3,2.3,1.5,0,1.9,111.2,0,High
119,REG015,1.6,4,0.8,0,2.6,55.9,0,High
120,ROU002,0.9,2.3,0.4,0,1.9,31.9,0,Very High
121,RWA002,2.7,2.8,1.9,3.3,2.1,142.6,2,Medium
122,SDN001,0.3,0.8,0,0,1.3,1.4,0,Very High
123,SDN005,0.8,1.5,0.9,0,1.6,63.9,0,Very High
124,SDN008,0.9,1.5,1.1,0,1.6,77.5,0,Very High
125,SEN002,0.4,0.3,1,0,1.1,70.5,0,Very High
126,SLV001,0.8,2.3,0,0,1.9,2.3,0,Very High
127,SOM001,0.7,2,0.2,0,1.8,12.9,0,Very High
128,SOM002,1.1,2.3,1,0,1.9,75.9,0,High
129,SSD001,1.2,2.5,1.2,0,2,88.7,0,High
130,SVK002,0.9,2.3,0.4,0,1.9,31.9,0,Very High
131,SWZ001,2.1,0.8,3.9,1.7,1.3,286.6,1,Medium
132,SYR001,1.1,0.8,2.6,0,1.3,188.3,0,High
133,SYR002,1.6,4.3,0.5,0,2.7,39.4,0,High
134,TCD001,2.8,3.3,5,0,2.3,461.4,0,Medium
135,TCD003,2.8,3.5,4.9,0,2.4,354.4,0,Medium
136,TCD004,2.4,2.5,4.8,0,2,351.9,0,Medium
137,TCD005,1.5,1.3,3.1,0,1.5,224.2,0,High
138,THA001,2.4,3,4.1,0,2.2,302.1,0,Medium
139,THA002,3.5,2.3,5,3.3,1.9,858.7,2,Low
140,THA003,2.3,2.8,4.1,0,2.1,302.1,0,Medium
141,TTO002,0.6,1.8,0.1,0,1.7,8.7,0,Very High
142,TUN002,1,2.5,0.4,0,2,31.9,0,Very High
143,TUR001,1.7,2.5,2.5,0,2,185.9,0,High
144,TUR002,2.3,2.3,3,1.7,1.9,223,1,Medium
145,TUR003,1.7,2.5,2.5,0,2,185.9,0,High
146,TUR004,2.2,3.8,2.8,0,2.5,205.3,0,Medium
147,TUR005,1.6,4.3,0.5,0,2.7,39.2,0,High
148,TZA001,0.6,1.5,0.4,0,1.6,29.2,0,Very High
149,TZA002,0.6,1.3,0.4,0,1.5,29.2,0,Very High
150,TZA003,0.9,1,1.8,0,1.4,131.8,0,Very High
151,UGA005,2.1,2.8,1.7,1.7,2.1,124.6,1,Medium
152,UKR002,0.9,1.8,0.8,0,1.7,58,0,Very High
153,VEN001,0.9,2.5,0.2,0,2,15.9,0,Very High
154,VUT003,2.2,2.8,0.6,3.3,2.1,41.6,2,Medium
155,YEM001,0.6,0.8,0.9,0,1.3,63.5,0,Very High
156,YEM002,0.9,2.5,0.2,0,2,14.8,0,Very High
157,ZMB002,1.7,0.5,4.6,0,1.2,339.3,0,High
158,ZWE001,0.8,1.5,1,0,1.6,73.6,0,Very High
