,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,1,1,1,1,1,1,1,1,1,1,734,100,100,100,99,103,100,99,99,98,84.2,,
2,AFG005,216,216,216,216,216,216,216,216,216,216,216,91,91,91,91,91,91,91,91,91,203.5,,
3,AGO002,153,215,215,4,411,215,215,215,215,215,4,94,94,94,94,94,94,94,94,94,180.3,,
4,ARM002,237,237,237,237,1,237,237,237,734,734,734,93,93,93,93,93,93,93,93,93,348.1,,
5,AZE002,190,210,210,688,1,210,215,210,210,210,818,92,92,92,92,92,92,92,92,92,286.4,,
6,BDI001,246,246,246,4,4,246,246,246,246,246,246,92,92,92,92,92,92,92,92,92,182.2,,
7,BFA002,141,141,141,32,32,141,141,141,141,141,1446,94,94,94,94,94,94,94,94,94,245,,
8,BGD002,274,2,2,2,2,209,209,2,209,209,1037,92,92,92,92,92,92,92,92,92,197.3,,
9,BRA001,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
10,BRA002,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
11,BRA003,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
