,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
1,AFG001,0.8,2,0.4,0,1.8,32.7,0,Very High
2,ARM002,1,2.3,0.6,0,1.9,44.6,0,Very High
3,AZE002,2.3,x,1.3,3.3,x,99.1,2,Medium
4,BDI001,1.4,2,2.2,0,1.8,161.2,0,High
5,BFA002,1.5,2.3,2.1,0,1.9,154.6,0,High
6,BGD002,0.9,2,0.6,0,1.8,46.8,0,Very High
7,BRA002,1.9,3.5,2.2,0,2.4,158.4,0,High
8,CAF001,1.8,3.8,1.5,0,2.5,113.1,0,High
9,CMR001,1.1,2,1.2,0,1.8,91.8,0,High
10,CMR002,1,1.8,1.1,0,1.7,84.3,0,Very High
11,CMR003,1.1,2.3,1,0,1.9,73,0,High
12,CMR004,1.8,2.3,1.5,1.7,1.9,108,1,High
13,COD001,1.5,2.8,1.6,0,2.1,116.4,0,High
14,COG001,2.4,3.3,0.7,3.3,2.3,52,2,Medium
15,COG004,3.4,3.8,1.4,5,2.5,101.3,3,Low
16,COL001,1.8,2.3,3.1,0,1.9,227.7,0,High
17,COL002,2.3,2.3,2.8,1.7,1.9,206.3,1,Medium
18,COL003,1.9,3,0.9,1.7,2.2,66.4,1,High
19,CRI002,1.8,3,2.5,0,2.2,186.3,0,High
20,DJI001,2.3,3.8,1.5,1.7,2.5,108.8,1,Medium
21,DJI002,2.1,3.8,2.5,0,2.5,180.6,0,Medium
22,DJI003,2.3,2.5,2.7,1.7,2,195.1,1,Medium
23,DZA002,4.8,x,4.5,5,x,326.3,3,Very Low
24,DZA003,2.9,3.8,5,0,2.5,413.2,0,Medium
25,DZA004,4,x,3,5,x,218.9,3,Low
26,ECU002,1.9,3.8,1.8,0,2.5,128.8,0,High
27,EGY002,1.7,3.5,1.5,0,2.4,107.9,0,High
28,ERI001,2,4,1.9,0,2.6,138.2,0,High
29,ESP002,2,3.5,2.4,0,2.4,173.8,0,High
30,ETH001,1.8,2.5,3,0,2,219.4,0,High
31,ETH002,1.4,1.5,2.8,0,1.6,204.7,0,High
32,ETH003,2.2,2.3,2.7,1.7,1.9,200.7,1,Medium
33,ETH004,1.4,3.5,0.6,0,2.4,46.8,0,High
34,FJI002,1.2,3.3,0.4,0,2.3,30,0,High
35,GRC002,1.2,2.3,1.2,0,1.9,85.6,0,High
36,GTM001,1.4,1.8,2.3,0,1.7,168.7,0,High
37,GTM003,1,2.3,0.7,0,1.9,54.6,0,Very High
38,HND001,1.5,1.8,2.7,0,1.7,198.6,0,High
39,HND002,1.1,2.5,0.8,0,2,60.5,0,High
40,HTI001,1.2,2,1.7,0,1.8,123.9,0,High
41,IDN002,4,x,4.7,3.3,x,344.9,2,Low
42,IDN006,0.9,2.3,0.4,0,1.9,31.6,0,Very High
43,IDN007,1.4,3.8,0.4,0,2.5,29.2,0,High
44,IND002,3,2.8,1.1,5,2.1,78.1,3,Medium
45,IRN004,2.7,4.3,3.7,0,2.7,268.1,0,Medium
46,IRQ001,0.9,2,0.6,0,1.8,43.6,0,Very High
