,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,8,8,8,8,8,8,8,8,8,8,8,106,106,106,106,106,106,106,106,106,17.8,,
2,AFG006,6,6,6,6,6,6,6,6,6,6,6,106,106,106,106,106,106,106,106,106,16,,
3,AGO002,61,61,61,4,1019,61,61,61,61,61,4,84,84,84,84,84,84,84,84,84,147.7,,
4,ARM002,5,5,5,5,5,5,5,5,5,5,5,110,110,110,110,110,110,110,110,110,15.5,,
5,AZE002,5,5,5,5,5,5,5,5,5,5,1426,109,109,109,109,109,109,109,109,109,157.5,,
6,BDI001,3,3,3,3,3,3,3,3,3,3,3,108,108,108,108,108,108,108,108,108,13.5,,
7,BEN002,171,171,171,4,4,171,171,171,171,171,4,99,99,99,99,99,99,99,99,99,113.7,,
8,BFA002,165,165,165,4,4,165,165,165,165,165,4,99,99,99,99,99,99,99,99,99,110.1,,
9,BGD001,36,0,0,0,0,36,0,0,0,0,0,62,62,62,62,62,62,62,62,62,9.8,,
10,BGD002,36,0,0,0,0,36,36,0,36,36,36,109,109,109,109,109,109,109,109,109,28.9,,
11,BGD012,36,36,36,36,36,36,36,36,36,36,36,60,60,60,60,60,60,60,60,60,38.4,,
12,BGD013,36,36,36,36,36,36,36,36,36,36,36,109,109,109,109,109,109,109,109,109,43.3,,
13,BGD014,0,0,0,0,0,0,0,0,0,0,0,62,62,62,62,62,62,62,62,62,6.2,,
14,BGR002,2,2,2,2,2,2,2,2,2,2,2,104,104,104,104,104,104,104,104,104,12.2,,
15,BLR002,2,2,2,2,2,2,2,2,2,2,2,104,104,104,104,104,104,104,104,104,12.2,,
16,BRA001,16,16,16,16,16,16,16,16,16,16,16,28,28,28,28,28,28,28,28,28,17.2,,
17,BRA002,16,16,16,16,16,16,16,16,16,16,16,105,105,105,105,105,105,105,105,105,24.9,,
18,BRA004,16,16,16,16,16,16,16,16,16,16,16,105,105,105,105,105,105,105,105,105,24.9,,
19,BRA005,16,16,16,16,16,16,16,16,16,16,16,41,41,41,41,41,41,41,41,41,18.5,,
20,CAF001,137,137,137,4,4,137,137,137,137,137,4,103,103,103,103,103,103,103,103,103,93.7,,
21,CHL002,5,5,5,5,5,5,5,5,5,5,5,104,104,104,104,104,104,104,104,104,14.9,,
22,CMR001,165,116,116,4,4,116,116,116,116,116,4,99,99,99,99,99,99,99,99,99,80.7,,
23,CMR002,453,116,116,4,4,116,116,116,116,116,4,101,101,101,101,101,101,101,101,101,80.9,,
24,CMR003,453,116,116,4,4,116,116,116,116,116,4,102,101,101,101,102,102,101,101,101,81,,
